,txid,type,amount_x,height,timeRaw,amounts_y,amounts_x
2023-03-20 20:06:01+00:00,6acc85573ade2564b3a9d26f054e1048d6cebf5795c095423c15830cf6688e72,PoolSwap,,2773427,1679342761,364.75039445,-479.48466167
2023-03-20 19:09:59+00:00,6af92f0ed2f77a920f1ae857d5762f5a608b685b8ddbe492ae09aace8ccc4a5d,PoolSwap,,2773324,1679339399,442.88543426,-581.89886125
2023-03-20 18:07:17+00:00,65125f67045ad14a2657b124c465150dcff73ecacebcdbbc659bd5d75bac158c,PoolSwap,,2773199,1679335637,397.0370988,-521.38137968
2023-03-20 17:07:22+00:00,72e1f8a1c31d01a4cf685a2928f71756f071c0b99c591449016fe3099f4e33f7,PoolSwap,,2773087,1679332042,492.95517859,-647.07153371
2023-03-20 16:06:18+00:00,9b2c6b06749614faf257bca032572afaa41844be02862588f137d69cf716cde2,PoolSwap,,2772948,1679328378,413.71947468,-544.65733413
2023-03-20 15:06:05+00:00,63273af4a60bc1bb08f57c950dfcad57f58e79e51fb978be7ce1d2ecbdf992c6,PoolSwap,,2772831,1679324765,451.72642077,-595.86443392
2023-03-20 14:06:13+00:00,35093c5528419d2efee76dcfc86628659a48c4c85afc7a071d7572777eb930af,PoolSwap,,2772703,1679321173,420.03182237,-553.96771591
2023-03-20 13:07:36+00:00,d413554eb38249d453b540d6e7dd4bd6ca257ee15c3f70d69c5c4a1a1da0bb95,PoolSwap,,2772584,1679317656,380.37168731,-502.76061612
2023-03-20 12:07:26+00:00,1a6dda0f024604ce1ecb3c5dee98d8434e4f1192d84adc89dcdae341c2a5ff30,PoolSwap,,2772476,1679314046,490.32751424,-651.7267246
2023-03-20 11:07:41+00:00,b705a2a3988432fee1d7508b4ef0c519607161cc96e03f35726c0ed7e6e71728,PoolSwap,,2772336,1679310461,474.56976049,-633.10596104
