;buyDUSDFee;interestDUSDLoans;sellDUSDFee;rewardDUSDBurnBot
07.07.2022;0;;0.29740;
08.07.2022;0;;0.30200;
09.07.2022;0;;0.30040;
10.07.2022;0;;0.29980;
11.07.2022;0;;0.29960;
12.07.2022;0;;0.29910;
13.07.2022;0;;0.29960;
14.07.2022;0;;0.29980;
15.07.2022;0;;0.30040;
16.07.2022;0;;0.30010;
17.07.2022;0;;0.30000;
18.07.2022;0;;0.29820;
19.07.2022;0;;0.29870;
20.07.2022;0;;0.29880;
21.07.2022;0;;0.29750;
22.07.2022;0;;0.29580;
23.07.2022;0;;0.29450;
24.07.2022;0;;0.29290;
25.07.2022;0;;0.29240;
26.07.2022;0;;0.29250;
27.07.2022;0;;0.29270;
28.07.2022;0;;0.29410;
29.07.2022;0;;0.29460;
30.07.2022;0;;0.29430;
31.07.2022;0;;0.29280;
01.08.2022;0;;0.29270;
02.08.2022;0;;0.29210;
03.08.2022;0;;0.29240;
04.08.2022;0;;0.29300;
05.08.2022;0;;0.29350;
06.08.2022;0;;0.29370;
07.08.2022;0;;0.29640;
08.08.2022;0;;0.29650;
09.08.2022;0;;0.29720;
10.08.2022;0;;0.29750;
11.08.2022;0;;0.29720;
12.08.2022;0;;0.29840;
13.08.2022;0;;0.29780;
14.08.2022;0;;0.29880;
15.08.2022;0;;0.29750;
16.08.2022;0;;0.29660;
17.08.2022;0;;0.29680;
18.08.2022;0;;0.29640;
19.08.2022;0;;0.29620;
20.08.2022;0;;0.29650;
21.08.2022;0;;0.29690;
22.08.2022;0;;0.29650;
23.08.2022;0;;0.29840;
24.08.2022;0;;0.29360;
25.08.2022;0;;0.29230;
26.08.2022;0;;0.28910;
27.08.2022;0;;0.28810;
28.08.2022;0;;0.28600;
29.08.2022;0;;0.28820;
30.08.2022;0;;0.28790;
31.08.2022;0;;0.28790;
01.09.2022;0;;0.28680;
02.09.2022;0;;0.28700;
03.09.2022;0;;0.28640;
04.09.2022;0;;0.27830;
05.09.2022;0;;0.27070;
06.09.2022;0;;0.25740;
07.09.2022;0;-86.59;0.12550;
08.09.2022;0;-30.75;0.12500;
09.09.2022;0;-20.65;0.12500;
10.09.2022;0;-21.64;0.12500;
11.09.2022;0;-27.67;0.12500;
12.09.2022;0;-31.34;0.12500;
13.09.2022;0;-30.88;0.12500;
14.09.2022;0;-29.91;0.12500;
15.09.2022;0;-29.23;0.12000;
16.09.2022;0;-26.74;0.11500;
17.09.2022;0;-24.46;0.11000;
18.09.2022;0;-22.85;0.10500;
19.09.2022;0;-21.46;0.10000;
20.09.2022;0;-20.77;0.09500;
21.09.2022;0;-20.71;0.09000;
22.09.2022;0;-22.04;0.08500;
23.09.2022;0;-21.96;0.08000;
24.09.2022;0;-21.84;0.07500;
25.09.2022;0;-21.97;0.07000;
26.09.2022;0;-22.18;0.06500;
27.09.2022;0;-22.34;0.06000;
28.09.2022;0;-22.84;0.05500;
29.09.2022;0;-23.53;0.30000;
30.09.2022;0;-24.2;0.30000;
01.10.2022;0;-27.96;0.30000;
02.10.2022;0;-28.27;0.30000;
03.10.2022;0;-28.36;0.30000;
04.10.2022;0;-28.47;0.30000;
05.10.2022;0;-30.03;0.30000;
06.10.2022;0;-29.38;0.30000;
07.10.2022;0;-27.95;0.30000;
08.10.2022;0;-20.29;0.30000;0.05
09.10.2022;0;-16.34;0.30000;0.06
