,date,nbMNDFX,nbMNAllnodes,nbMNCake,nbMNLOCK,nbMNmydefichain
0,2022-11-06,395.0,111.0,9309.0,46.0,365.0
1,2022-11-07,395.0,109.0,9309.0,46.0,365.0
2,2022-11-08,357.0,110.0,9309.0,46.0,365.0
3,2022-11-09,357.0,110.0,9309.0,48.0,365.0
4,2022-11-10,357.0,110.0,9309.0,92.0,366.0
5,2022-11-11,360.0,110.0,9309.0,95.0,366.0
6,2022-11-12,365.0,104.0,9309.0,94.0,366.0
7,2022-11-13,366.0,104.0,9309.0,94.0,366.0
8,2022-11-14,366.0,104.0,9309.0,94.0,367.0
9,2022-11-15,366.0,104.0,9509.0,115.0,367.0
10,2022-11-16,367.0,105.0,9509.0,121.0,368.0
11,2022-11-17,368.0,105.0,9509.0,124.0,369.0
12,2022-11-18,368.0,106.0,9509.0,125.0,372.0
13,2022-11-19,368.0,106.0,9509.0,127.0,373.0
14,2022-11-20,368.0,107.0,9509.0,131.0,373.0
15,2022-11-21,368.0,107.0,9509.0,132.0,374.0
16,2022-11-22,368.0,107.0,9509.0,132.0,374.0
17,2022-11-23,370.0,107.0,9889.0,146.0,372.0
18,2022-11-24,375.0,107.0,9889.0,153.0,379.0
19,2022-11-25,375.0,107.0,9889.0,156.0,379.0
20,2022-11-26,375.0,108.0,9889.0,162.0,379.0
21,2022-11-27,375.0,108.0,9889.0,172.0,379.0
22,2022-11-28,375.0,109.0,9889.0,180.0,379.0
23,2022-11-29,310.0,109.0,9889.0,189.0,386.0
24,2022-11-30,308.0,109.0,9889.0,211.0,396.0
25,2022-12-01,305.0,109.0,9889.0,285.0,397.0
26,2022-12-02,295.0,109.0,9889.0,291.0,398.0
27,2022-12-03,277.0,109.0,9889.0,296.0,398.0
28,2022-12-04,266.0,109.0,9889.0,302.0,399.0
29,2022-12-05,251.0,109.0,9889.0,326.0,401.0
30,2022-12-06,251.0,109.0,9889.0,326.0,401.0
31,2022-12-07,251.0,109.0,9889.0,326.0,401.0
32,2022-12-08,251.0,109.0,9889.0,326.0,401.0
33,2022-12-09,251.0,109.0,9889.0,326.0,401.0
34,2022-12-10,251.0,109.0,9889.0,326.0,401.0
35,2022-12-11,251.0,109.0,9889.0,326.0,401.0
36,2022-12-12,251.0,109.0,9889.0,326.0,401.0
37,2022-12-13,251.0,109.0,9889.0,326.0,401.0
38,2022-12-14,153.0,107.0,9929.0,436.0,408.0
39,2022-12-15,153.0,108.0,9929.0,443.0,410.0
40,2022-12-16,148.0,108.0,9929.0,449.0,410.0
41,2022-12-17,128.0,108.0,9929.0,453.0,410.0
42,2022-12-18,128.0,108.0,9929.0,465.0,410.0
43,2022-12-19,113.0,108.0,9929.0,470.0,412.0
44,2022-12-20,91.0,108.0,9929.0,479.0,413.0
45,2022-12-21,74.0,108.0,9929.0,522.0,413.0
46,2022-12-22,64.0,108.0,9929.0,532.0,413.0
47,2022-12-23,64.0,108.0,9929.0,536.0,403.0
48,2022-12-24,48.0,108.0,9929.0,553.0,408.0
49,2022-12-25,43.0,108.0,9929.0,563.0,417.0
50,2022-12-26,38.0,108.0,9929.0,571.0,419.0
51,2022-12-27,0.0,108.0,9929.0,571.0,411.0
52,2022-12-28,0.0,108.0,9929.0,580.0,417.0
53,2022-12-29,0.0,108.0,9929.0,596.0,419.0
54,2022-12-30,0.0,102.0,10004.0,643.0,424.0
55,2022-12-31,0.0,102.0,10004.0,672.0,429.0
56,2023-01-01,0.0,102.0,10004.0,728.0,430.0
57,2023-01-02,0.0,102.0,10004.0,727.0,429.0
58,2023-01-03,0.0,102.0,10004.0,718.0,431.0
59,2023-01-04,0.0,102.0,10004.0,720.0,435.0
60,2023-01-05,0.0,100.0,10004.0,723.0,433.0
61,2023-01-06,0.0,100.0,10004.0,717.0,432.0
62,2023-01-07,0.0,100.0,10004.0,722.0,433.0
63,2023-01-08,0.0,100.0,10004.0,718.0,436.0
64,2023-01-09,0.0,100.0,10004.0,718.0,436.0
65,2023-01-10,0.0,100.0,10004.0,726.0,435.0
66,2023-01-11,0.0,101.0,10004.0,733.0,438.0
67,2023-01-12,0.0,101.0,10004.0,740.0,442.0
68,2023-01-13,0.0,101.0,10004.0,741.0,442.0
69,2023-01-14,0.0,101.0,10004.0,755.0,442.0
70,2023-01-15,0.0,101.0,10004.0,759.0,443.0
71,2023-01-16,0.0,101.0,10004.0,764.0,443.0
72,2023-01-17,0.0,102.0,10124.0,764.0,443.0
73,2023-01-18,0.0,102.0,10124.0,759.0,444.0
74,2023-01-19,0.0,103.0,10124.0,766.0,444.0
75,2023-01-20,0.0,103.0,10124.0,774.0,449.0
76,2023-01-21,0.0,103.0,10124.0,772.0,450.0
77,2023-01-22,0.0,105.0,10206.0,790.0,452.0
78,2023-01-23,0.0,106.0,10212.0,799.0,452.0
79,2023-01-24,0.0,110.0,10218.0,799.0,450.0
80,2023-01-25,0.0,110.0,10224.0,799.0,451.0
81,2023-01-26,0.0,109.0,10229.0,805.0,448.0
82,2023-01-27,0.0,110.0,10235.0,806.0,446.0
83,2023-01-28,0.0,110.0,10241.0,813.0,444.0
84,2023-01-29,0.0,110.0,10244.0,831.0,445.0
85,2023-01-30,0.0,110.0,10244.0,841.0,443.0
86,2023-01-31,0.0,110.0,10245.0,850.0,446.0
87,2023-02-01,0.0,110.0,10245.0,863.0,444.0
88,2023-02-02,0.0,110.0,10245.0,652.0,442.0
89,2023-02-03,0.0,110.0,10245.0,529.0,442.0
90,2023-02-04,0.0,109.0,10245.0,519.0,446.0
91,2023-02-05,0.0,109.0,10245.0,488.0,447.0
92,2023-02-06,0.0,109.0,10245.0,486.0,448.0
93,2023-02-07,0.0,109.0,10445.0,482.0,448.0
94,2023-02-08,0.0,109.0,10445.0,478.0,446.0
95,2023-02-09,0.0,108.0,10445.0,471.0,446.0
96,2023-02-10,0.0,108.0,10445.0,462.0,445.0
97,2023-02-11,0.0,108.0,10445.0,465.0,448.0
98,2023-02-12,0.0,108.0,10445.0,463.0,448.0
99,2023-02-12,0.0,109.0,10445.0,428.0,451.0
100,2023-02-13,0.0,109.0,10445.0,458.0,451.0
101,2023-02-14,0.0,110.0,10445.0,491.0,452.0
102,2023-02-15,0.0,110.0,10445.0,491.0,452.0
103,2023-02-16,0.0,110.0,10445.0,491.0,453.0
104,2023-02-17,0.0,110.0,10445.0,494.0,453.0
105,2023-02-18,0.0,110.0,10445.0,497.0,450.0
106,2023-02-19,0.0,110.0,10445.0,484.0,453.0
107,2023-02-20,0.0,110.0,10445.0,500.0,452.0
108,2023-02-21,0.0,110.0,10445.0,498.0,453.0
109,2023-02-22,0.0,110.0,10445.0,489.0,453.0
110,2023-02-23,0.0,110.0,10445.0,492.0,455.0
111,2023-02-24,0.0,111.0,10445.0,492.0,455.0
112,2023-02-25,,111.0,10545.0,483.0,457.0
113,2023-02-26,,111.0,10546.0,482.0,459.0
